1-3.mp3.emo.txt,0.6,0.12
1-4.mp3.emo.txt,0.88,-0.18
1-5.mp3.emo.txt,-0.73,-0.12
10-10.mp3.emo.txt,0.89,0.39
10-11.mp3.emo.txt,0.26,0.17
10-12.mp3.emo.txt,0.77,0.51
10-13.mp3.emo.txt,0.25,0.1
10-14.mp3.emo.txt,0.13,-0.42
10-15.mp3.emo.txt,-0.38,-0.27
10-2.mp3.emo.txt,0.4,-0.11
10-3.mp3.emo.txt,-0.2,0.14
10-4.mp3.emo.txt,-0.99,0.18
10-5.mp3.emo.txt,-0.01,-0.71
10-6.mp3.emo.txt,-0.1,-0.3
10-7.mp3.emo.txt,0.69,0.22
10-8.mp3.emo.txt,0.14,0.36
10-9.mp3.emo.txt,0.07,0.42
11-1.mp3.emo.txt,-0.55,-0.8
11-10.mp3.emo.txt,-0.17,0.68
11-11.mp3.emo.txt,0.94,0.77
11-12.mp3.emo.txt,0.17,0.89
11-13.mp3.emo.txt,0.2,0.83
11-14.mp3.emo.txt,0.26,0.35
11-15.mp3.emo.txt,-0.9,0.38
11-2.mp3.emo.txt,-0.85,-0.73
11-3.mp3.emo.txt,0.11,0.19
11-4.mp3.emo.txt,-0.98,0.39
11-5.mp3.emo.txt,-0.84,0.4
11-6.mp3.emo.txt,-0.82,0.29
11-7.mp3.emo.txt,0.67,0.95
11-8.mp3.emo.txt,0.35,0.69
11-9.mp3.emo.txt,0.75,0.57
12-1.mp3.emo.txt,-0.23,0.17
12-10.mp3.emo.txt,0.71,0.74
12-2.mp3.emo.txt,0.46,0.43
12-3.mp3.emo.txt,0.47,0.45
12-4.mp3.emo.txt,0.28,0.72
12-5.mp3.emo.txt,-0.12,-0.23
12-6.mp3.emo.txt,0.72,0.76
12-7.mp3.emo.txt,0.89,-0.06
12-8.mp3.emo.txt,0.78,0.83
12-9.mp3.emo.txt,0.88,0.54
13-2.mp3.emo.txt,0.54,0.41
13-3.mp3.emo.txt,0.21,0.52
13-4.mp3.emo.txt,0.74,0.24
13-5.mp3.emo.txt,-0.06,-0.15
14-3.mp3.emo.txt,0.37,0.01
14-4.mp3.emo.txt,0.09,0.32
14-5.mp3.emo.txt,0.79,0.27
14-6.mp3.emo.txt,0.27,0.04
15-1.mp3.emo.txt,-0.51,0.23
15-2.mp3.emo.txt,-0.48,0.33
15-3.mp3.emo.txt,0.52,0.12
15-4.mp3.emo.txt,0.36,0.36
15-5.mp3.emo.txt,-0.56,0.51
15-6.mp3.emo.txt,-0.41,0.45
16-2.mp3.emo.txt,0.01,-0.94
16-3.mp3.emo.txt,0.07,-0.88
16-4.mp3.emo.txt,-0.39,-0.88
16-5.mp3.emo.txt,-0.28,-0.76
16-6.mp3.emo.txt,-0.86,-0.85
16-7.mp3.emo.txt,-0.69,-0.57
2-3.mp3.emo.txt,-0.78,-0.52
2-4.mp3.emo.txt,-0.81,-0.03
2-5.mp3.emo.txt,-0.79,-0.49
2-6.mp3.emo.txt,-0.95,-0.9
20-2.mp3.emo.txt,0.56,0.34
3-1.mp3.emo.txt,0.45,-0.77
