[((0.39,-0.43),256)]|[(c.minor,32),(A#.MAJOR,24),(G#.MAJOR,40),(g.minor,88),(G#.MAJOR,40),(g.minor,32)]|[48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50,48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50]|[(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8),(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8)]|[[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]|[]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [[0, 256]], ((0, 0, 0), (55, 2, 0)), [0, 0, 0, 0, (0, 0)]]
[((0.39,-0.24),64),((0.38,-0.03),64),((0.39,0.05),64),((0.37,0.14),64)]|[(g.minor,56),(G#.MAJOR,40),(g.minor,88),(G#.MAJOR,40),(g.minor,32)]|[48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50,48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50]|[(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8),(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8)]|[[61],[65],[65],[61],[61],[65],[68],[67],[61],[65],[65],[61],[60],[72],[71],[71]]|[64,112,192]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-18.34, 16), (-9.36, 32), (-18.34, 32), (-9.36, 16), (-21.54, 16), (-4.71, 16), (-18.34, 16), (-9.36, 32), (-18.34, 16), (-5.88, 32), (11.66, 32)], [(60, 10, -2), (55, 2, 0)], [0, 0, 1, 1, (1, 4)]]
[((0.37,0.16),64),((0.38,0.19),128),((0.36,0.19),64)]|[(g.minor,56),(G#.MAJOR,40),(G.MAJOR,24),(g.minor,136)]|[48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50,48,48,55,55,51,51,55,55,48,48,55,55,51,51,55,55,43,43,50,50,47,47,50,50,43,43,50,50,47,47,50,50]|[(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8),(48,8),(55,8),(51,8),(55,8),(48,8),(55,8),(51,8),(55,8),(43,8),(50,8),(47,8),(50,8),(43,8),(50,8),(47,8),(50,8)]|[[61],[65],[65],[61],[61],[65],[68],[67],[60],[],[72],[],[72],[69],[66],[63]]|[64,256]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-18.34, 16), (-9.36, 32), (-18.34, 32), (-9.36, 16), (-18.34, 16), (-5.88, 96), (7.04, 16), (15.04, 16), (-24.63, 16)], [(60, 2, 3), (55, 2, 0)], [0, 0, 1, 1, (1, 4)]]
[((0.19,0.23),64),((0.18,0.24),192)]|[(g.minor,56),(G#.MAJOR,40),(g.minor,88),(G#.MAJOR,40),(g.minor,32)]|[48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50,48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50]|[(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8),(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8)]|[[61],[65],[65],[61],[61],[65],[68],[67],[61],[65],[65],[61],[60],[72],[71],[71]]|[64,112,192]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-18.34, 16), (-9.36, 32), (-18.34, 32), (-9.36, 16), (-21.54, 16), (-4.71, 16), (-18.34, 16), (-9.36, 32), (-18.34, 16), (-5.88, 32), (11.66, 32)], [(60, 10, -2), (55, 2, 0)], [0, 1, 1, 1, (1, 4)]]
[((0.18,0.24),64),((0.19,0.32),192)]|[(g.minor,56),(G#.MAJOR,40),(G.MAJOR,24),(g.minor,136)]|[48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50,48,48,55,55,51,51,55,55,48,48,55,55,51,51,55,55,43,43,50,50,47,47,50,50,43,43,50,50,47,47,50,50]|[(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8),(48,8),(55,8),(51,8),(55,8),(48,8),(55,8),(51,8),(55,8),(43,8),(50,8),(47,8),(50,8),(43,8),(50,8),(47,8),(50,8)]|[[61],[65],[65],[61],[61],[65],[68],[67],[60],[],[72],[],[72],[69],[66],[63]]|[64,256]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-18.34, 16), (-9.36, 32), (-18.34, 32), (-9.36, 16), (-18.34, 16), (-5.88, 96), (7.04, 16), (15.04, 16), (-24.63, 16)], [(60, 2, 3), (55, 2, 0)], [0, 0, 1, 1, (1, 4)]]
[((0.19,0.32),128),((0.2,0.33),64),((0.36,0.31),64)]|[(g.minor,24),(F.MAJOR,32),(e.minor,120),(C.MAJOR,80)]|[53,53,60,60,57,57,60,60,53,53,60,60,57,57,60,60,52,52,59,59,56,56,59,59,52,52,59,59,56,56,59,59,45,45,60,60,57,57,60,60,45,45,60,60,57,57,60,60,48,48,60,60,55,55,60,60,48,48,60,60,55,55,60,60]|[(53,8),(60,8),(57,8),(60,8),(53,8),(60,8),(57,8),(60,8),(52,8),(59,8),(56,8),(59,8),(52,8),(59,8),(56,8),(59,8),(45,8),(60,8),(57,8),(60,8),(45,8),(60,8),(57,8),(60,8),(48,8),(60,8),(55,8),(60,8),(48,8),(60,8),(55,8),(60,8)]|[[65],[60],[65],[65],[64],[64],[66],[68],[69],[64],[69],[69],[72],[71],[72],[69]]|[80,128,208,240]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-9.36, 16), (-5.88, 48), (8.21, 32), (15.04, 16), (-21.54, 16), (7.04, 16), (8.21, 16), (7.04, 32), (-5.88, 16), (11.66, 16), (-5.88, 16), (7.04, 16)], [(60, 4, 0), (60, 7, -1)], [0, 1, 1, 0, (0, 0)]]
[((0.39,0.33),256)]|[(C.MAJOR,24),(F.MAJOR,44),(C#.MAJOR,144),(b.minor,36),(A.MAJOR,8)]|[53,53,60,60,57,57,60,60,53,53,60,60,57,57,60,60,50,50,57,57,54,54,57,57,50,50,57,57,54,54,57,57,43,43,59,59,55,55,59,59,43,43,59,59,55,55,59,59,43,43,59,59,55,55,59,59,49,49,47,47,50,50,47,47]|[(53,8),(60,8),(57,8),(60,8),(53,8),(60,8),(57,8),(60,8),(50,8),(57,8),(54,8),(57,8),(50,8),(57,8),(54,8),(57,8),(43,8),(59,8),(55,8),(59,8),(43,8),(59,8),(55,8),(59,8),(43,8),(59,8),(55,8),(59,8),(49,8),(47,8),(50,8),(47,8)]|[[65],[60],[65],[65],[66],[69],[69],[72],[71],[71],[74],[74],[77],[76],[73],[71]]|[32,80,128,176,240]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-9.36, 16), (-5.88, 48), (18.34, 16), (7.04, 32), (-5.88, 16), (11.66, 32), (5.88, 32), (-9.36, 16), (8.21, 16), (-18.34, 16), (11.66, 16)], [(60, 6, 1), (60, -6, 4)], [0, 1, 1, 1, (1, 4)]]
[((0.39,0.33),256)]|[(A.MAJOR,96),(g.minor,88),(G#.MAJOR,40),(g.minor,32)]|[48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50,48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50]|[(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8),(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8)]|[[61],[65],[65],[61],[61],[65],[68],[67],[61],[65],[65],[61],[60],[72],[71],[71]]|[64,112]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-8.21, 16), (-19.42, 32), (-8.21, 32), (-19.42, 16), (-21.54, 16), (-4.71, 16), (-18.34, 16), (-9.36, 32), (-18.34, 16), (-5.88, 32), (11.66, 32)], [(60, 10, -2), (55, 2, 0)], [0, 1, 1, 1, (1, 12)]]
[((0.39,0.33),256)]|[(g.minor,56),(G#.MAJOR,40),(G.MAJOR,24),(g.minor,128),(c#.minor,8)]|[48,48,55,55,51,51,55,55,46,46,53,53,50,50,53,53,44,44,51,51,48,48,51,51,43,43,50,50,47,47,50,50,48,48,55,55,51,51,55,55,48,48,55,55,51,51,55,55,43,43,50,50,47,47,50,50,43,43,50,50,47,47,50,50]|[(48,8),(55,8),(51,8),(55,8),(46,8),(53,8),(50,8),(53,8),(44,8),(51,8),(48,8),(51,8),(43,8),(50,8),(47,8),(50,8),(48,8),(55,8),(51,8),(55,8),(48,8),(55,8),(51,8),(55,8),(43,8),(50,8),(47,8),(50,8),(43,8),(50,8),(47,8),(50,8)]|[[61],[65],[65],[61],[61],[65],[68],[67],[60],[],[72],[],[72],[69],[66],[63]]|[64,144,256]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-18.34, 16), (-9.36, 32), (-18.34, 32), (-9.36, 16), (-18.34, 16), (-5.88, 96), (7.04, 16), (15.04, 16), (-24.63, 16)], [(60, 2, 3), (55, 2, 0)], [0, 0, 1, 1, (1, 4)]]
[((0.39,0.33),64),((0.22,0.42),64),((0.09,0.48),64),((0.07,0.5),64)]|[(c#.minor,256)]|[49,49,56,56,52,52,56,56,49,49,56,56,52,52,56,56,44,44,51,51,48,48,51,51,44,44,51,51,48,48,51,51,49,49,61,61,56,56,61,61,47,47,59,59,54,54,59,59,45,45,57,57,52,52,57,57,44,44,56,56,51,51,56,56]|[(49,8),(56,8),(52,8),(56,8),(49,8),(56,8),(52,8),(56,8),(44,8),(51,8),(48,8),(51,8),(44,8),(51,8),(48,8),(51,8),(49,8),(61,8),(56,8),(61,8),(47,8),(59,8),(54,8),(59,8),(45,8),(57,8),(52,8),(57,8),(44,8),(56,8),(51,8),(56,8)]|[[61],[],[73],[],[61],[64],[67],[70],[73],[68],[71],[66],[69],[64],[68],[70]]|[144,224]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-18.34, 80), (8.21, 16), (-4.71, 16), (-27.6, 16), (-18.34, 16), (-21.54, 16), (11.66, 16), (15.04, 16), (7.04, 16), (8.21, 16), (-21.54, 16), (-27.6, 16)], [(61, 9, 2), (61, 7, -1)], [0, 0, 1, 0, (0, 0)]]
[((0.07,0.5),128),((0.01,0.54),64),((0.03,0.55),64)]|[(c#.minor,256)]|[49,49,61,61,56,56,61,61,51,51,63,63,56,56,63,63,52,52,64,64,56,56,64,64,54,54,66,66,61,61,66,66,49,49,61,61,56,56,61,61,47,47,59,59,54,54,59,59,45,45,57,57,52,52,57,57,44,44,56,56,51,51,56,56]|[(49,8),(61,8),(56,8),(61,8),(51,8),(63,8),(56,8),(63,8),(52,8),(64,8),(56,8),(64,8),(54,8),(66,8),(61,8),(66,8),(49,8),(61,8),(56,8),(61,8),(47,8),(59,8),(54,8),(59,8),(45,8),(57,8),(52,8),(57,8),(44,8),(56,8),(51,8),(56,8)]|[[73],[68],[75],[68],[76],[76],[78],[78],[73],[68],[71],[66],[69],[64],[68],[70]]|[144,208]|[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [(-18.34, 16), (-21.54, 16), (-24.63, 16), (-21.54, 16), (8.21, 32), (15.04, 32), (-18.34, 16), (-21.54, 16), (11.66, 16), (15.04, 16), (7.04, 16), (8.21, 16), (-21.54, 16), (-27.6, 16)], [(64, -3, -1), (66, 7, 3)], [0, 1, 1, 1, (1, 4)]]
